DEPTH,BS,CALI,CHKS,VP,VS,GR,GRN,NPHI,PHIE,PHIT,RD,RHOB,RM,RS,SWE,VSH
9800.0,8.5,8.3872,2112.6411,3207.884,1819.4398,154.537,162.537,0.2032,0.0,0.0812,1.5399,2.5649,1.5441,1.5283,1.0,100.0
9800.5,8.5,8.3951,2112.7368,3178.8777,1819.4398,157.5908,165.5908,0.2086,0.0,0.0782,1.5116,2.5718,1.5136,1.5046,1.0,100.0
9801.0,8.5,8.3849,2112.8325,3136.9353,1819.4398,161.1772,169.1772,0.2131,0.0,0.0784,1.5387,2.5727,1.5338,1.5231,1.0,100.0
9801.5,8.5,8.3907,2112.9282,3122.1992,1819.4398,161.53,169.53,0.2142,0.0,0.0794,1.5315,2.5712,1.5266,1.5015,1.0,100.0
9802.0,8.5,8.402,2113.0239,3110.2041,1819.4398,161.686,169.686,0.2108,0.0,0.0833,1.5044,2.5637,1.5007,1.4753,1.0,100.0
9802.5,8.5,8.3767,2113.1196,3079.7336,1819.4398,161.1696,169.1696,0.216,0.0,0.0887,1.4759,2.5543,1.4794,1.4618,1.0,100.0
9803.0,8.5,8.379,2113.2153,3087.7234,1819.4398,159.3248,167.3248,0.2168,0.0,0.0897,1.469,2.5521,1.4788,1.4716,1.0,100.0
9803.5,8.5,8.3879,2113.311,3085.6418,1819.4398,160.628,168.628,0.2153,0.0018,0.0918,1.512,2.5485,1.5243,1.5154,1.0,100.0
9804.0,8.5,8.3939,2113.4067,3057.4016,1819.4398,161.7339,169.7339,0.2122,0.0018,0.0918,1.5624,2.5484,1.5659,1.5573,1.0,100.0
9804.5,8.5,8.4018,2113.5024,3037.5054,1819.4398,157.8463,165.8463,0.2062,0.0,0.0868,1.5766,2.5558,1.5627,1.5549,1.0,100.0
9805.0,8.5,8.431,2113.5979,3076.5378,1819.4398,153.9861,161.9861,0.2144,0.0,0.086,1.5736,2.5573,1.5493,1.5354,1.0,100.0
9805.5,8.5,8.4326,2113.6936,3114.6792,1819.4398,154.3366,162.3366,0.2117,0.0,0.0878,1.5878,2.5538,1.5675,1.528,1.0,100.0
9806.0,8.5,8.4251,2113.7893,3137.8494,1819.4398,154.1446,162.1446,0.2074,0.0,0.0875,1.5467,2.5538,1.5458,1.4854,1.0,100.0
9806.5,8.5,8.4438,2113.885,3135.7798,1819.4398,153.5199,161.5199,0.2087,0.0,0.0864,1.559,2.5559,1.574,1.5479,1.0,100.0
9807.0,8.5,8.4617,2113.9807,3124.1416,1819.4398,155.6208,163.6208,0.2091,0.0,0.0823,1.8472,2.5639,1.8614,1.8553,1.0,100.0
9807.5,8.5,8.3951,2114.0757,3128.0112,1819.4398,155.0426,163.0426,0.2179,0.0,0.0743,1.5443,2.5794,1.5578,1.5177,1.0,100.0
9808.0,8.5,8.3824,2114.1704,3142.145,1819.4398,153.692,161.692,0.1875,0.0,0.0689,1.5418,2.585,1.5582,1.5235,1.0,100.0
9808.5,8.5,8.4084,2114.2651,3158.0354,1819.4398,154.6557,162.6557,0.17,0.0,0.0736,2.2155,2.5744,2.2101,2.1813,1.0,95.05
9809.0,8.5,8.4071,2114.3599,3209.0764,1819.4398,149.6397,157.6397,0.175,0.0023,0.0829,2.5068,2.557,2.4921,2.4343,1.0,89.59
